run_id,step,algo,opt,pivot,scheme,cutoff,depth,tail,run_threshold,iterative,reuse_buffer,fitness_ms,comparisons,swaps,n,trials_per_dist,dist_mask,pop_idx,temp
massive_1762530540737,1,QS,GA,First,Hoare,35,24,0,,,,8.76013,2503221,858768,100000,1,1,42,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,22,0,,,,8.76525,2512592,874970,100000,1,1,43,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,24,0,,,,8.77271,2560622,878008,100000,1,1,44,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,20,0,,,,8.77696,2640370,852535,100000,1,1,45,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,19,0,,,,8.784,2539543,841383,100000,1,1,46,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,19,0,,,,8.79604,2542888,822821,100000,1,1,47,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,22,0,,,,8.81963,2494924,824301,100000,1,1,48,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,19,0,,,,8.83129,2626928,868175,100000,1,1,49,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,24,0,,,,8.86988,2559859,885871,100000,1,1,50,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,20,0,,,,8.90508,2553093,859142,100000,1,1,51,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,21,0,,,,8.90846,2469649,861348,100000,1,1,52,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,35,20,0,,,,8.91942,2372852,1402662,100000,1,1,53,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,36,18,0,,,,8.94042,2358629,1437807,100000,1,1,54,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,22,0,,,,8.94917,2635269,885691,100000,1,1,55,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,19,0,,,,8.95454,2602575,886732,100000,1,1,56,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,24,0,,,,8.95787,2467247,823810,100000,1,1,57,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,24,0,,,,8.9715,2542127,837274,100000,1,1,58,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,33,19,0,,,,8.97167,2169673,1324717,100000,1,1,59,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,24,0,,,,8.97204,2573786,866031,100000,1,1,60,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,20,0,,,,8.99367,2535004,853285,100000,1,1,61,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,23,0,,,,8.99429,2526555,859559,100000,1,1,62,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,22,0,,,,8.99692,2572994,823582,100000,1,1,63,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,19,0,,,,9.00721,2431730,857091,100000,1,1,64,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,24,0,,,,9.0105,2709267,884518,100000,1,1,65,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,19,0,,,,9.03554,2442452,840514,100000,1,1,66,0.000000
massive_1762530540737,1,QS,GA,Median3,Hoare,34,20,0,,,,9.04358,2246163,825524,100000,1,1,67,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,19,0,,,,9.05338,2567019,875346,100000,1,1,68,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,21,0,,,,9.08454,2525194,821856,100000,1,1,69,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,19,0,,,,9.0935,2544403,852672,100000,1,1,70,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,18,0,,,,9.09546,2493186,870115,100000,1,1,71,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,26,0,,,,9.20771,2501511,886743,100000,1,1,72,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,22,0,,,,9.27129,2646886,836330,100000,1,1,73,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,22,0,,,,9.30517,2542259,894214,100000,1,1,74,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,16,0,,,,9.31875,2494324,872569,100000,1,1,75,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,23,0,,,,9.32554,2543733,842203,100000,1,1,76,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,18,0,,,,9.33271,2474889,870726,100000,1,1,77,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,35,23,0,,,,9.33808,2205636,1376938,100000,1,1,78,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,18,0,,,,9.38267,2570190,868005,100000,1,1,79,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,24,0,,,,9.43025,2488377,827244,100000,1,1,80,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,22,0,,,,9.50604,2539855,838132,100000,1,1,81,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,24,0,,,,9.51008,2694830,876597,100000,1,1,82,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,38,24,0,,,,9.52437,2599914,900461,100000,1,1,83,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,18,1,,,,9.5255,2504564,830350,100000,1,1,84,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,23,0,,,,9.551,2534115,867449,100000,1,1,85,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,20,0,,,,9.56608,2491251,822768,100000,1,1,86,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,35,22,0,,,,9.56633,2271974,1477965,100000,1,1,87,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,24,0,,,,9.57317,2547426,859236,100000,1,1,88,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,21,0,,,,9.74379,2715802,891075,100000,1,1,89,0.000000
